Fod size : 5	|A| : 1	|B| : 1	Bl (B) :1	 Nlz : 496	 Bl ({A}) : 240	S({A};B) : 255	Cond Belief : 1
Fod size : 10	|A| : 3	|B| : 3	Bl (B) :28	 Nlz : 523776	 Bl ({A}) : 65024	S({A};B) : 458724	Cond Belief : 1
Fod size : 10	|A| : 4	|B| : 1	Bl (B) :1	 Nlz : 523776	 Bl ({A}) : 32256	S({A};B) : 32319	Cond Belief : 2.1777e-06
Fod size : 10	|A| : 4	|B| : 2	Bl (B) :18	 Nlz : 523776	 Bl ({A}) : 32256	S({A};B) : 97902	Cond Belief : 4.57296e-05
Fod size : 10	|A| : 4	|B| : 3	Bl (B) :52	 Nlz : 523776	 Bl ({A}) : 32256	S({A};B) : 229068	Cond Belief : 0.000198131
Fod size : 10	|A| : 4	|B| : 4	Bl (B) :120	 Nlz : 523776	 Bl ({A}) : 32256	S({A};B) : 491400	Cond Belief : 1
Fod size : 10	|A| : 5	|B| : 1	Bl (B) :2	 Nlz : 523776	 Bl ({A}) : 15872	S({A};B) : 15934	Cond Belief : 4.06529e-06
Fod size : 10	|A| : 5	|B| : 2	Bl (B) :34	 Nlz : 523776	 Bl ({A}) : 15872	S({A};B) : 48670	Cond Belief : 7.40363e-05
Fod size : 10	|A| : 5	|B| : 3	Bl (B) :52	 Nlz : 523776	 Bl ({A}) : 15872	S({A};B) : 112716	Cond Belief : 0.000131583
Fod size : 10	|A| : 5	|B| : 4	Bl (B) :216	 Nlz : 523776	 Bl ({A}) : 15872	S({A};B) : 244776	Cond Belief : 0.000820893
Fod size : 10	|A| : 5	|B| : 5	Bl (B) :496	 Nlz : 523776	 Bl ({A}) : 15872	S({A};B) : 507408	Cond Belief : 1
Fod size : 10	|A| : 6	|B| : 1	Bl (B) :1	 Nlz : 523776	 Bl ({A}) : 7680	S({A};B) : 7695	Cond Belief : 1.96695e-06
Fod size : 10	|A| : 6	|B| : 2	Bl (B) :10	 Nlz : 523776	 Bl ({A}) : 7680	S({A};B) : 23190	Cond Belief : 2.02878e-05
Fod size : 10	|A| : 6	|B| : 3	Bl (B) :44	 Nlz : 523776	 Bl ({A}) : 7680	S({A};B) : 54420	Cond Belief : 9.53049e-05
Fod size : 10	|A| : 6	|B| : 4	Bl (B) :408	 Nlz : 523776	 Bl ({A}) : 7680	S({A};B) : 121320	Cond Belief : 0.0010335
Fod size : 10	|A| : 6	|B| : 5	Bl (B) :992	 Nlz : 523776	 Bl ({A}) : 7680	S({A};B) : 252960	Cond Belief : 0.00376991
Fod size : 10	|A| : 6	|B| : 6	Bl (B) :2016	 Nlz : 523776	 Bl ({A}) : 7680	S({A};B) : 514080	Cond Belief : 1
Fod size : 10	|A| : 7	|B| : 1	Bl (B) :1	 Nlz : 523776	 Bl ({A}) : 3584	S({A};B) : 3591	Cond Belief : 1.93573e-06
Fod size : 10	|A| : 7	|B| : 2	Bl (B) :80	 Nlz : 523776	 Bl ({A}) : 3584	S({A};B) : 11312	Cond Belief : 0.000157208
Fod size : 10	|A| : 7	|B| : 3	Bl (B) :400	 Nlz : 523776	 Bl ({A}) : 3584	S({A};B) : 27888	Cond Belief : 0.000812506
Fod size : 10	|A| : 7	|B| : 4	Bl (B) :480	 Nlz : 523776	 Bl ({A}) : 3584	S({A};B) : 57120	Cond Belief : 0.00103656
Fod size : 10	|A| : 7	|B| : 5	Bl (B) :1760	 Nlz : 523776	 Bl ({A}) : 3584	S({A};B) : 123424	Cond Belief : 0.00443584
Fod size : 10	|A| : 7	|B| : 6	Bl (B) :2016	 Nlz : 523776	 Bl ({A}) : 3584	S({A};B) : 239904	Cond Belief : 0.0071926
Fod size : 10	|A| : 7	|B| : 7	Bl (B) :8128	 Nlz : 523776	 Bl ({A}) : 3584	S({A};B) : 512064	Cond Belief : 1
Fod size : 10	|A| : 8	|B| : 1	Bl (B) :16	 Nlz : 523776	 Bl ({A}) : 1536	S({A};B) : 1584	Cond Belief : 3.07305e-05
Fod size : 10	|A| : 8	|B| : 2	Bl (B) :36	 Nlz : 523776	 Bl ({A}) : 1536	S({A};B) : 4716	Cond Belief : 6.9562e-05
Fod size : 10	|A| : 8	|B| : 3	Bl (B) :100	 Nlz : 523776	 Bl ({A}) : 1536	S({A};B) : 11052	Cond Belief : 0.000195623
Fod size : 10	|A| : 8	|B| : 4	Bl (B) :568	 Nlz : 523776	 Bl ({A}) : 1536	S({A};B) : 24744	Cond Belief : 0.00114172
Fod size : 10	|A| : 8	|B| : 5	Bl (B) :976	 Nlz : 523776	 Bl ({A}) : 1536	S({A};B) : 50544	Cond Belief : 0.00206913
Fod size : 10	|A| : 8	|B| : 6	Bl (B) :8064	 Nlz : 523776	 Bl ({A}) : 1536	S({A};B) : 120960	Cond Belief : 0.0200957
Fod size : 10	|A| : 8	|B| : 7	Bl (B) :16256	 Nlz : 523776	 Bl ({A}) : 1536	S({A};B) : 243840	Cond Belief : 0.0583908
Fod size : 10	|A| : 8	|B| : 8	Bl (B) :32640	 Nlz : 523776	 Bl ({A}) : 1536	S({A};B) : 489600	Cond Belief : 1
Fod size : 10	|A| : 9	|B| : 1	Bl (B) :2	 Nlz : 523776	 Bl ({A}) : 512	S({A};B) : 514	Cond Belief : 3.82592e-06
Fod size : 10	|A| : 9	|B| : 2	Bl (B) :272	 Nlz : 523776	 Bl ({A}) : 512	S({A};B) : 1808	Cond Belief : 0.000521616
Fod size : 10	|A| : 9	|B| : 3	Bl (B) :1036	 Nlz : 523776	 Bl ({A}) : 512	S({A};B) : 4620	Cond Belief : 0.00199752
Fod size : 10	|A| : 9	|B| : 4	Bl (B) :680	 Nlz : 523776	 Bl ({A}) : 512	S({A};B) : 8360	Cond Belief : 0.00132063
Fod size : 10	|A| : 9	|B| : 5	Bl (B) :6016	 Nlz : 523776	 Bl ({A}) : 512	S({A};B) : 21888	Cond Belief : 0.011999
Fod size : 10	|A| : 9	|B| : 6	Bl (B) :11680	 Nlz : 523776	 Bl ({A}) : 512	S({A};B) : 43936	Cond Belief : 0.0243674
Fod size : 10	|A| : 9	|B| : 7	Bl (B) :31424	 Nlz : 523776	 Bl ({A}) : 512	S({A};B) : 96448	Cond Belief : 0.0736242
Fod size : 10	|A| : 9	|B| : 8	Bl (B) :63360	 Nlz : 523776	 Bl ({A}) : 512	S({A};B) : 193920	Cond Belief : 0.192382
Fod size : 10	|A| : 9	|B| : 9	Bl (B) :130816	 Nlz : 523776	 Bl ({A}) : 512	S({A};B) : 392448	Cond Belief : 1
Fod size : 10	|A| : 10	|B| : 1	Bl (B) :16	 Nlz : 523776	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 3.05474e-05
Fod size : 10	|A| : 10	|B| : 2	Bl (B) :1536	 Nlz : 523776	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.00293255
Fod size : 10	|A| : 10	|B| : 3	Bl (B) :536	 Nlz : 523776	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.00102334
Fod size : 10	|A| : 10	|B| : 4	Bl (B) :6336	 Nlz : 523776	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.0120968
Fod size : 10	|A| : 10	|B| : 5	Bl (B) :14864	 Nlz : 523776	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.0283785
Fod size : 10	|A| : 10	|B| : 6	Bl (B) :13664	 Nlz : 523776	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.0260875
Fod size : 10	|A| : 10	|B| : 7	Bl (B) :65024	 Nlz : 523776	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.124145
Fod size : 10	|A| : 10	|B| : 8	Bl (B) :32640	 Nlz : 523776	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.0623167
Fod size : 10	|A| : 10	|B| : 9	Bl (B) :245504	 Nlz : 523776	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 0.468719
Fod size : 10	|A| : 10	|B| : 10	Bl (B) :523776	 Nlz : 523776	 Bl ({A}) : 0	S({A};B) : 0	Cond Belief : 1
FoD size : 10 Time spent : 0
Fod size : 15	|A| : 1	|B| : 1	Bl (B) :1	 Nlz : 5.36855e+08	 Bl ({A}) : 2.68419e+08	S({A};B) : 2.68435e+08	Cond Belief : 1
Fod size : 15	|A| : 2	|B| : 1	Bl (B) :1	 Nlz : 5.36855e+08	 Bl ({A}) : 1.34201e+08	S({A};B) : 1.3421e+08	Cond Belief : 3.72518e-09
Fod size : 15	|A| : 2	|B| : 2	Bl (B) :6	 Nlz : 5.36855e+08	 Bl ({A}) : 1.34201e+08	S({A};B) : 4.02653e+08	Cond Belief : 1
Fod size : 15	|A| : 3	|B| : 1	Bl (B) :2	 Nlz : 5.36855e+08	 Bl ({A}) : 6.70925e+07	S({A};B) : 6.71007e+07	Cond Belief : 4.96695e-09
Fod size : 15	|A| : 3	|B| : 2	Bl (B) :10	 Nlz : 5.36855e+08	 Bl ({A}) : 6.70925e+07	S({A};B) : 2.01318e+08	Cond Belief : 3.72518e-08
Fod size : 15	|A| : 3	|B| : 3	Bl (B) :28	 Nlz : 5.36855e+08	 Bl ({A}) : 6.70925e+07	S({A};B) : 4.69762e+08	Cond Belief : 1
Fod size : 15	|A| : 4	|B| : 1	Bl (B) :1	 Nlz : 5.36855e+08	 Bl ({A}) : 3.3538e+07	S({A};B) : 3.35401e+07	Cond Belief : 2.12867e-09
Fod size : 15	|A| : 4	|B| : 2	Bl (B) :18	 Nlz : 5.36855e+08	 Bl ({A}) : 3.3538e+07	S({A};B) : 1.00651e+08	Cond Belief : 4.47021e-08
Fod size : 15	|A| : 4	|B| : 3	Bl (B) :52	 Nlz : 5.36855e+08	 Bl ({A}) : 3.3538e+07	S({A};B) : 2.34873e+08	Cond Belief : 1.93709e-07
Fod size : 15	|A| : 4	|B| : 4	Bl (B) :120	 Nlz : 5.36855e+08	 Bl ({A}) : 3.3538e+07	S({A};B) : 5.03316e+08	Cond Belief : 1
Fod size : 15	|A| : 5	|B| : 1	Bl (B) :2	 Nlz : 5.36855e+08	 Bl ({A}) : 1.67608e+07	S({A};B) : 1.67629e+07	Cond Belief : 3.97353e-09
Fod size : 15	|A| : 5	|B| : 2	Bl (B) :34	 Nlz : 5.36855e+08	 Bl ({A}) : 1.67608e+07	S({A};B) : 5.03173e+07	Cond Belief : 7.23749e-08
Fod size : 15	|A| : 5	|B| : 3	Bl (B) :52	 Nlz : 5.36855e+08	 Bl ({A}) : 1.67608e+07	S({A};B) : 1.17379e+08	Cond Belief : 1.29124e-07
Fod size : 15	|A| : 5	|B| : 4	Bl (B) :216	 Nlz : 5.36855e+08	 Bl ({A}) : 1.67608e+07	S({A};B) : 2.51633e+08	Cond Belief : 8.04588e-07
Fod size : 15	|A| : 5	|B| : 5	Bl (B) :496	 Nlz : 5.36855e+08	 Bl ({A}) : 1.67608e+07	S({A};B) : 5.20093e+08	Cond Belief : 1
Fod size : 15	|A| : 6	|B| : 1	Bl (B) :1	 Nlz : 5.36855e+08	 Bl ({A}) : 8.37222e+06	S({A};B) : 8.37274e+06	Cond Belief : 1.92267e-09
Fod size : 15	|A| : 6	|B| : 2	Bl (B) :10	 Nlz : 5.36855e+08	 Bl ({A}) : 8.37222e+06	S({A};B) : 2.51218e+07	Cond Belief : 1.98665e-08
Fod size : 15	|A| : 6	|B| : 3	Bl (B) :44	 Nlz : 5.36855e+08	 Bl ({A}) : 8.37222e+06	S({A};B) : 5.86281e+07	Cond Belief : 9.36461e-08
Fod size : 15	|A| : 6	|B| : 4	Bl (B) :408	 Nlz : 5.36855e+08	 Bl ({A}) : 8.37222e+06	S({A};B) : 1.25792e+08	Cond Belief : 1.01319e-06
Fod size : 15	|A| : 6	|B| : 5	Bl (B) :992	 Nlz : 5.36855e+08	 Bl ({A}) : 8.37222e+06	S({A};B) : 2.60046e+08	Cond Belief : 3.69547e-06
Fod size : 15	|A| : 6	|B| : 6	Bl (B) :2016	 Nlz : 5.36855e+08	 Bl ({A}) : 8.37222e+06	S({A};B) : 5.2848e+08	Cond Belief : 1
Fod size : 15	|A| : 7	|B| : 1	Bl (B) :1	 Nlz : 5.36855e+08	 Bl ({A}) : 4.17792e+06	S({A};B) : 4.17818e+06	Cond Belief : 1.89215e-09
Fod size : 15	|A| : 7	|B| : 2	Bl (B) :80	 Nlz : 5.36855e+08	 Bl ({A}) : 4.17792e+06	S({A};B) : 1.25542e+07	Cond Belief : 1.5381e-07
Fod size : 15	|A| : 7	|B| : 3	Bl (B) :400	 Nlz : 5.36855e+08	 Bl ({A}) : 4.17792e+06	S({A};B) : 2.93474e+07	Cond Belief : 7.94709e-07
Fod size : 15	|A| : 7	|B| : 4	Bl (B) :480	 Nlz : 5.36855e+08	 Bl ({A}) : 4.17792e+06	S({A};B) : 6.27912e+07	Cond Belief : 1.02153e-06
Fod size : 15	|A| : 7	|B| : 5	Bl (B) :1760	 Nlz : 5.36855e+08	 Bl ({A}) : 4.17792e+06	S({A};B) : 1.29964e+08	Cond Belief : 4.37037e-06
Fod size : 15	|A| : 7	|B| : 6	Bl (B) :2016	 Nlz : 5.36855e+08	 Bl ({A}) : 4.17792e+06	S({A};B) : 2.63723e+08	Cond Belief : 7.49572e-06
Fod size : 15	|A| : 7	|B| : 7	Bl (B) :8128	 Nlz : 5.36855e+08	 Bl ({A}) : 4.17792e+06	S({A};B) : 5.32668e+08	Cond Belief : 1
Fod size : 15	|A| : 8	|B| : 1	Bl (B) :16	 Nlz : 5.36855e+08	 Bl ({A}) : 2.08077e+06	S({A};B) : 2.0828e+06	Cond Belief : 3.00362e-08
Fod size : 15	|A| : 8	|B| : 2	Bl (B) :36	 Nlz : 5.36855e+08	 Bl ({A}) : 2.08077e+06	S({A};B) : 6.24688e+06	Cond Belief : 6.81138e-08
Fod size : 15	|A| : 8	|B| : 3	Bl (B) :100	 Nlz : 5.36855e+08	 Bl ({A}) : 2.08077e+06	S({A};B) : 1.45781e+07	Cond Belief : 1.92235e-07
Fod size : 15	|A| : 8	|B| : 4	Bl (B) :568	 Nlz : 5.36855e+08	 Bl ({A}) : 2.08077e+06	S({A};B) : 3.12837e+07	Cond Belief : 1.12813e-06
Fod size : 15	|A| : 8	|B| : 5	Bl (B) :976	 Nlz : 5.36855e+08	 Bl ({A}) : 2.08077e+06	S({A};B) : 6.46278e+07	Cond Belief : 2.07595e-06
Fod size : 15	|A| : 8	|B| : 6	Bl (B) :8064	 Nlz : 5.36855e+08	 Bl ({A}) : 2.08077e+06	S({A};B) : 1.32113e+08	Cond Belief : 2.00268e-05
Fod size : 15	|A| : 8	|B| : 7	Bl (B) :16256	 Nlz : 5.36855e+08	 Bl ({A}) : 2.08077e+06	S({A};B) : 2.66322e+08	Cond Belief : 6.05547e-05
Fod size : 15	|A| : 8	|B| : 8	Bl (B) :32640	 Nlz : 5.36855e+08	 Bl ({A}) : 2.08077e+06	S({A};B) : 5.34741e+08	Cond Belief : 1
Fod size : 15	|A| : 9	|B| : 1	Bl (B) :2	 Nlz : 5.36855e+08	 Bl ({A}) : 1.03219e+06	S({A};B) : 1.03232e+06	Cond Belief : 3.73979e-09
Fod size : 15	|A| : 9	|B| : 2	Bl (B) :272	 Nlz : 5.36855e+08	 Bl ({A}) : 1.03219e+06	S({A};B) : 3.11371e+06	Cond Belief : 5.10598e-07
Fod size : 15	|A| : 9	|B| : 3	Bl (B) :1036	 Nlz : 5.36855e+08	 Bl ({A}) : 1.03219e+06	S({A};B) : 7.29061e+06	Cond Belief : 1.96015e-06
Fod size : 15	|A| : 9	|B| : 4	Bl (B) :680	 Nlz : 5.36855e+08	 Bl ({A}) : 1.03219e+06	S({A};B) : 1.55257e+07	Cond Belief : 1.30695e-06
Fod size : 15	|A| : 9	|B| : 5	Bl (B) :6016	 Nlz : 5.36855e+08	 Bl ({A}) : 1.03219e+06	S({A};B) : 3.2377e+07	Cond Belief : 1.19497e-05
Fod size : 15	|A| : 9	|B| : 6	Bl (B) :11680	 Nlz : 5.36855e+08	 Bl ({A}) : 1.03219e+06	S({A};B) : 6.57639e+07	Cond Belief : 2.4848e-05
Fod size : 15	|A| : 9	|B| : 7	Bl (B) :31424	 Nlz : 5.36855e+08	 Bl ({A}) : 1.03219e+06	S({A};B) : 1.33068e+08	Cond Belief : 7.80228e-05
Fod size : 15	|A| : 9	|B| : 8	Bl (B) :63360	 Nlz : 5.36855e+08	 Bl ({A}) : 1.03219e+06	S({A};B) : 2.67201e+08	Cond Belief : 0.000235871
Fod size : 15	|A| : 9	|B| : 9	Bl (B) :130816	 Nlz : 5.36855e+08	 Bl ({A}) : 1.03219e+06	S({A};B) : 5.35692e+08	Cond Belief : 1
Fod size : 15	|A| : 10	|B| : 1	Bl (B) :16	 Nlz : 5.36855e+08	 Bl ({A}) : 507904	S({A};B) : 508400	Cond Belief : 2.98598e-08
Fod size : 15	|A| : 10	|B| : 2	Bl (B) :1536	 Nlz : 5.36855e+08	 Bl ({A}) : 507904	S({A};B) : 1.57133e+06	Cond Belief : 2.87223e-06
Fod size : 15	|A| : 10	|B| : 3	Bl (B) :536	 Nlz : 5.36855e+08	 Bl ({A}) : 507904	S({A};B) : 3.57194e+06	Cond Belief : 1.00605e-06
Fod size : 15	|A| : 10	|B| : 4	Bl (B) :6336	 Nlz : 5.36855e+08	 Bl ({A}) : 507904	S({A};B) : 7.81498e+06	Cond Belief : 1.19879e-05
Fod size : 15	|A| : 10	|B| : 5	Bl (B) :14864	 Nlz : 5.36855e+08	 Bl ({A}) : 507904	S({A};B) : 1.62058e+07	Cond Belief : 2.85769e-05
Fod size : 15	|A| : 10	|B| : 6	Bl (B) :13664	 Nlz : 5.36855e+08	 Bl ({A}) : 507904	S({A};B) : 3.24215e+07	Cond Belief : 2.71151e-05
Fod size : 15	|A| : 10	|B| : 7	Bl (B) :65024	 Nlz : 5.36855e+08	 Bl ({A}) : 507904	S({A};B) : 6.65196e+07	Cond Belief : 0.0001384
Fod size : 15	|A| : 10	|B| : 8	Bl (B) :32640	 Nlz : 5.36855e+08	 Bl ({A}) : 507904	S({A};B) : 1.30527e+08	Cond Belief : 8.04299e-05
Fod size : 15	|A| : 10	|B| : 9	Bl (B) :245504	 Nlz : 5.36855e+08	 Bl ({A}) : 507904	S({A};B) : 2.6715e+08	Cond Belief : 0.000911986
Fod size : 15	|A| : 10	|B| : 10	Bl (B) :523776	 Nlz : 5.36855e+08	 Bl ({A}) : 507904	S({A};B) : 5.35823e+08	Cond Belief : 1
Fod size : 15	|A| : 11	|B| : 1	Bl (B) :8	 Nlz : 5.36855e+08	 Bl ({A}) : 245760	S({A};B) : 245880	Cond Belief : 1.49153e-08
Fod size : 15	|A| : 11	|B| : 2	Bl (B) :192	 Nlz : 5.36855e+08	 Bl ({A}) : 245760	S({A};B) : 740160	Cond Belief : 3.58297e-07
Fod size : 15	|A| : 11	|B| : 3	Bl (B) :1184	 Nlz : 5.36855e+08	 Bl ({A}) : 245760	S({A};B) : 1.73808e+06	Cond Belief : 2.21362e-06
Fod size : 15	|A| : 11	|B| : 4	Bl (B) :8472	 Nlz : 5.36855e+08	 Bl ({A}) : 245760	S({A};B) : 3.81348e+06	Cond Belief : 1.5901e-05
Fod size : 15	|A| : 11	|B| : 5	Bl (B) :10800	 Nlz : 5.36855e+08	 Bl ({A}) : 245760	S({A};B) : 7.78056e+06	Cond Belief : 2.04225e-05
Fod size : 15	|A| : 11	|B| : 6	Bl (B) :43904	 Nlz : 5.36855e+08	 Bl ({A}) : 245760	S({A};B) : 1.61414e+07	Cond Belief : 8.4355e-05
Fod size : 15	|A| : 11	|B| : 7	Bl (B) :118336	 Nlz : 5.36855e+08	 Bl ({A}) : 245760	S({A};B) : 3.29866e+07	Cond Belief : 0.00023497
Fod size : 15	|A| : 11	|B| : 8	Bl (B) :187264	 Nlz : 5.36855e+08	 Bl ({A}) : 245760	S({A};B) : 6.54778e+07	Cond Belief : 0.000397478
Fod size : 15	|A| : 11	|B| : 9	Bl (B) :519680	 Nlz : 5.36855e+08	 Bl ({A}) : 245760	S({A};B) : 1.33379e+08	Cond Belief : 0.00128879
Fod size : 15	|A| : 11	|B| : 10	Bl (B) :523776	 Nlz : 5.36855e+08	 Bl ({A}) : 245760	S({A};B) : 2.59269e+08	Cond Belief : 0.00188857
Fod size : 15	|A| : 11	|B| : 11	Bl (B) :2.09613e+06	 Nlz : 5.36855e+08	 Bl ({A}) : 245760	S({A};B) : 5.34513e+08	Cond Belief : 1
Fod size : 15	|A| : 12	|B| : 1	Bl (B) :8	 Nlz : 5.36855e+08	 Bl ({A}) : 114688	S({A};B) : 114744	Cond Belief : 1.4908e-08
Fod size : 15	|A| : 12	|B| : 2	Bl (B) :4100	 Nlz : 5.36855e+08	 Bl ({A}) : 114688	S({A};B) : 372764	Cond Belief : 7.64402e-06
Fod size : 15	|A| : 12	|B| : 3	Bl (B) :4288	 Nlz : 5.36855e+08	 Bl ({A}) : 114688	S({A};B) : 832832	Cond Belief : 8.00139e-06
Fod size : 15	|A| : 12	|B| : 4	Bl (B) :4680	 Nlz : 5.36855e+08	 Bl ({A}) : 114688	S({A};B) : 1.75308e+06	Cond Belief : 8.74788e-06
Fod size : 15	|A| : 12	|B| : 5	Bl (B) :33136	 Nlz : 5.36855e+08	 Bl ({A}) : 114688	S({A};B) : 3.78728e+06	Cond Belief : 6.21744e-05
Fod size : 15	|A| : 12	|B| : 6	Bl (B) :75168	 Nlz : 5.36855e+08	 Bl ({A}) : 114688	S({A};B) : 7.75152e+06	Cond Belief : 0.000142098
Fod size : 15	|A| : 12	|B| : 7	Bl (B) :119680	 Nlz : 5.36855e+08	 Bl ({A}) : 114688	S({A};B) : 1.54031e+07	Cond Belief : 0.000229564
Fod size : 15	|A| : 12	|B| : 8	Bl (B) :327168	 Nlz : 5.36855e+08	 Bl ({A}) : 114688	S({A};B) : 3.15356e+07	Cond Belief : 0.000647596
Fod size : 15	|A| : 12	|B| : 9	Bl (B) :977664	 Nlz : 5.36855e+08	 Bl ({A}) : 114688	S({A};B) : 6.54492e+07	Cond Belief : 0.00207444
Fod size : 15	|A| : 12	|B| : 10	Bl (B) :2.01472e+06	 Nlz : 5.36855e+08	 Bl ({A}) : 114688	S({A};B) : 1.31429e+08	Cond Belief : 0.0049708
Fod size : 15	|A| : 12	|B| : 11	Bl (B) :3.93114e+06	 Nlz : 5.36855e+08	 Bl ({A}) : 114688	S({A};B) : 2.62284e+08	Cond Belief : 0.0143234
Fod size : 15	|A| : 12	|B| : 12	Bl (B) :8.38656e+06	 Nlz : 5.36855e+08	 Bl ({A}) : 114688	S({A};B) : 5.28353e+08	Cond Belief : 1
Fod size : 15	|A| : 13	|B| : 1	Bl (B) :1024	 Nlz : 5.36855e+08	 Bl ({A}) : 49152	S({A};B) : 52224	Cond Belief : 1.90777e-06
Fod size : 15	|A| : 13	|B| : 2	Bl (B) :4224	 Nlz : 5.36855e+08	 Bl ({A}) : 49152	S({A};B) : 160128	Cond Belief : 7.87112e-06
Fod size : 15	|A| : 13	|B| : 3	Bl (B) :8456	 Nlz : 5.36855e+08	 Bl ({A}) : 49152	S({A};B) : 369432	Cond Belief : 1.57633e-05
Fod size : 15	|A| : 13	|B| : 4	Bl (B) :18176	 Nlz : 5.36855e+08	 Bl ({A}) : 49152	S({A};B) : 791808	Cond Belief : 3.39096e-05
Fod size : 15	|A| : 13	|B| : 5	Bl (B) :22272	 Nlz : 5.36855e+08	 Bl ({A}) : 49152	S({A};B) : 1.59053e+06	Cond Belief : 4.16132e-05
Fod size : 15	|A| : 13	|B| : 6	Bl (B) :116928	 Nlz : 5.36855e+08	 Bl ({A}) : 49152	S({A};B) : 3.44736e+06	Cond Belief : 0.00021923
Fod size : 15	|A| : 13	|B| : 7	Bl (B) :292608	 Nlz : 5.36855e+08	 Bl ({A}) : 49152	S({A};B) : 7.12013e+06	Cond Belief : 0.000552419
Fod size : 15	|A| : 13	|B| : 8	Bl (B) :253440	 Nlz : 5.36855e+08	 Bl ({A}) : 49152	S({A};B) : 1.32941e+07	Cond Belief : 0.000484116
Fod size : 15	|A| : 13	|B| : 9	Bl (B) :1.75078e+06	 Nlz : 5.36855e+08	 Bl ({A}) : 49152	S({A};B) : 3.0369e+07	Cond Belief : 0.00345707
Fod size : 15	|A| : 13	|B| : 10	Bl (B) :4.18253e+06	 Nlz : 5.36855e+08	 Bl ({A}) : 49152	S({A};B) : 6.28301e+07	Cond Belief : 0.00882436
Fod size : 15	|A| : 13	|B| : 11	Bl (B) :7.99437e+06	 Nlz : 5.36855e+08	 Bl ({A}) : 49152	S({A};B) : 1.24597e+08	Cond Belief : 0.019394
